tempo,largura
7.808,0.99855
7.816,1.00548
7.824,1.00061
7.832,0.992581
7.84,1.00605
7.848,0.99855
7.856,0.998981
7.864,1.00548
7.872,0.995338
7.88,1.00342
7.888,0.99855
7.896,0.994906
7.904,1.00416
7.912,0.995242
7.92,0.99855
7.928,0.999293
7.936,0.995769
7.944,1.00133
7.952,0.994163
7.96,0.997064
7.968,1.00466
7.976,0.994163
7.984,1.00179
7.992,1.0009
8.0,0.996057
8.008,1.00016
8.016,0.997375
8.024,1.00133
8.032,1.00459
8.04,0.99215
8.048,1.00548
8.056,1.00016
8.064,1.0009
8.072,1.00179
8.08,0.992869
8.088,1.00061
8.096,1.00016
8.104,0.997375
8.112,1.00416
8.12,1.00037
8.128,1.00416
8.136,0.999293
8.144,0.993372
8.152,1.00876
8.16,0.999293
8.168,0.997663
8.176,1.00505
8.184,0.997111
8.192,1.00505
8.2,0.997111
8.208,0.996512
8.216,1.00296
8.224,0.995745
8.232,1.00222
8.24,1.00061
8.248,0.998118
8.256,1.0038
8.264,0.995769
8.272,0.997375
8.28,1.00667
8.288,0.996057
8.296,1.00579
8.304,1.00179
8.312,0.999724
8.32,1.00179
8.328,0.997375
8.336,1.00519
8.344,1.0038
8.352,0.994906
8.36,1.00385
8.368,0.996944
8.376,1.00416
8.384,0.99855
8.392,0.993301
8.4,1.00572
8.408,0.999508
8.416,0.994163
8.424,1.00342
8.432,0.999293
8.44,1.00416
8.448,0.999508
8.456,0.995242
8.464,1.00459
8.472,0.997375
8.48,0.999293
8.488,1.00016
8.496,0.997111
8.504,1.00548
8.512,0.998981
8.52,0.996944
8.528,1.00416
8.536,0.995338
8.544,1.00505
8.552,0.998118
8.56,0.997375
8.568,1.00179
8.576,0.997111
8.584,1.00191
8.592,1.0038
8.6,0.996057
8.608,1.00579
8.616,0.99855
8.624,1.00016
8.632,1.00179
8.64,0.994451
8.648,1.00416
8.656,1.00296
8.664,0.995242
8.672,1.00342
8.68,0.998142
8.688,1.00459
8.696,0.998981
8.704,0.996512
8.712,1.0083
8.72,0.999724
8.728,1.00037
8.736,1.00466
8.744,0.996944
8.752,1.00713
8.76,0.997375
8.768,0.995769
8.776,1.01995
8.784,0.98738
8.792,1.0166
8.8,1.00416
8.808,1.00579
8.816,1.00761
8.824,1.00222
8.832,1.00416
8.84,1.00907
8.848,0.994906
8.856,1.00713
8.864,0.999293
8.872,1.00253
8.88,1.00296
8.888,0.996512
8.896,1.00548
8.904,1.00133
8.912,0.995242
8.92,1.00579
8.928,0.997111
8.936,1.00459
8.944,0.999724
8.952,0.996057
8.96,1.00787
8.968,1.00133
8.976,0.996057
8.984,1.00622
8.992,0.997663
9.0,1.00622
9.008,0.997111
9.016,0.994906
9.024,1.00548
9.032,0.998981
9.04,1.00061
9.048,0.997663
9.056,0.996944
9.064,1.0038
9.072,0.994163
9.08,1.0009
9.088,1.00787
9.096,0.995242
9.104,1.00385
9.112,0.998981
9.12,0.999724
9.128,1.00028
9.136,0.995769
9.144,1.00016
9.152,1.00222
9.16,0.996177
9.168,1.00459
9.176,0.997375
9.184,1.00222
9.192,0.999724
9.2,0.994451
9.208,1.00416
9.216,1.00061
9.224,0.996057
9.232,1.00416
9.24,0.995769
9.248,1.00385
9.256,0.997375
9.264,0.992581
9.272,1.00548
9.28,0.998214
9.288,1.00037
9.296,1.00291
9.304,0.994379
9.312,1.00667
9.32,0.995745
9.328,0.996249
9.336,1.00385
9.344,0.998142
9.352,0.998478
9.36,0.999724
9.368,0.993876
9.376,1.0033
9.384,0.993876
9.392,0.999293
9.4,1.00459
9.408,0.995242
9.416,1.0033
9.424,1.00087
9.432,0.998142
9.44,1.00222
9.448,0.990664
9.456,1.0033
9.464,1.00222
9.472,0.994379
9.48,1.00133
9.488,0.998142
9.496,1.00296
9.504,1.00224
9.512,0.994163
9.52,1.00761
9.528,1.00179
9.536,0.995242
9.544,1.0033
9.552,0.994451
9.56,1.00572
9.568,0.99855
9.576,0.995338
